"last_name, first_name",player_id,year,woba
"Tauchman, Mike",643565,2024,0.322
"Greene, Riley",682985,2024,0.355
"Suwinski, Jack",669261,2024,0.259
"Yepez, Juan",660766,2024,0.337
"Nido, Tomás",621512,2024,0.231
"Edwards, Xavier",669364,2024,0.38
"Harper, Bryce",547180,2024,0.377
"Isbel, Kyle",664728,2024,0.286
"Call, Alex",669743,2024,0.411
"Jankowski, Travis",608671,2024,0.234
"Maldonado, Martín",455117,2024,0.181
"Ohtani, Shohei",660271,2024,0.412
"Vargas, Ildemaro",545121,2024,0.283
"Bleday, JJ",668709,2024,0.34
"Nimmo, Brandon",607043,2024,0.33
"Lewis, Royce",668904,2024,0.364
"Velázquez, Nelson",676369,2024,0.28
"Canzone, Dominic",686527,2024,0.279
"Siri, Jose",642350,2024,0.278
"Iglesias, Jose",578428,2024,0.353
"McCormick, Chas",676801,2024,0.245
"Hilliard, Sam",656541,2024,0.318
"Toro, Abraham",647351,2024,0.283
"Benson, Will",666181,2024,0.295
"Ahmed, Nick",605113,2024,0.252
"Peña, Jeremy",665161,2024,0.312
"Perez, Salvador",521692,2024,0.344
"Barger, Addison",680718,2024,0.273
"Clement, Ernie",676391,2024,0.302
"Ramírez, José",608070,2024,0.36
"Soler, Jorge",624585,2024,0.328
"Schneemann, Daniel",682177,2024,0.316
"Westburg, Jordan",676059,2024,0.348
"Bouchard, Sean",656248,2024,0.266
"Maile, Luke",571912,2024,0.238
"Harris, Brett",695391,2024,0.252
"Fletcher, Dominic",666150,2024,0.245
"Rendon, Anthony",543685,2024,0.273
"Schmitt, Casey",669477,2024,0.275
"Schanuel, Nolan",694384,2024,0.316
"McCarthy, Jake",664983,2024,0.351
"Sánchez, Gary",596142,2024,0.326
"Rogers, Jake",668670,2024,0.267
"Hedges, Austin",595978,2024,0.192
"Martínez, Angel",682657,2024,0.297
"De La Cruz, Elly",682829,2024,0.354
"Freeman, Tyler",671289,2024,0.282
"Taveras, Leody",665750,2024,0.275
"Duvall, Adam",594807,2024,0.253
"Stanton, Giancarlo",519317,2024,0.341
"Contreras, Willson",575929,2024,0.37
"Rortvedt, Ben",666163,2024,0.298
"Sosa, Edmundo",624641,2024,0.328
"Blackmon, Charlie",453568,2024,0.311
"Lopez, Nicky",670032,2024,0.27
"Kirilloff, Alex",666135,2024,0.282
"Santana, Carlos",467793,2024,0.323
"Jeffers, Ryan",680777,2024,0.337
"Stephenson, Tyler",663886,2024,0.349
"Sánchez, Jesús",660821,2024,0.308
"Murphy, Sean",669221,2024,0.301
"Diaz, Yainer",673237,2024,0.331
"Conforto, Michael",624424,2024,0.319
"Gorman, Nolan",669357,2024,0.29
"Grossman, Robbie",543257,2024,0.298
"Encarnacion-Strand, Christian",687952,2024,0.223
"Bogaerts, Xander",593428,2024,0.296
"Meadows, Parker",678009,2024,0.311
"Triolo, Jared",669707,2024,0.267
"Jiménez, Eloy",650391,2024,0.289
"Hernández, Teoscar",606192,2024,0.348
"Chourio, Jackson",694192,2024,0.336
"Happ, Ian",664023,2024,0.349
"Amaya, Miguel",665804,2024,0.289
"Carroll, Corbin",682998,2024,0.321
"Siani, Michael",672279,2024,0.275
"Allen, Nick",669397,2024,0.213
"Azocar, José",640492,2024,0.234
"Rodríguez, Julio",677594,2024,0.305
"Heyward, Jason",518792,2024,0.294
"Arraez, Luis",650333,2024,0.318
"Julien, Edouard",666397,2024,0.3
"Ibáñez, Andy",628451,2024,0.306
"Dubón, Mauricio",643289,2024,0.281
"Suárez, Eugenio",553993,2024,0.319
